Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario);Ubicación (tweet)
Andrés Arauz;RT @MashiRafael: Andrés Arauz fija su política pública para que se cumplan los derechos de las mujeres y las diversidades - Andrés Arauz ht…;Sat Jan 30 22:10:11 +0000 2021;319;582;Guayaquil, Ecuador;
Andrés Arauz;"RT @MashiRafael: 🔴🔴🔴
En tus manos está poner fin a esta pesadilla.
Aráuz está a décimas de ganar en una sola vuelta.
Un presidente electo e…";Sat Jan 30 22:10:20 +0000 2021;865;1829;Guayaquil, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:10:25 +0000 2021;268;511;Ca�ar, Ecuador;
Andrés Arauz;"Este 7 de febrero SE TERMINA EL GOBIERNO DE LA TRAICIÓN Y LLEGA EL GOBIERNO DE LA ESPERANZA!
El país ya no da más d… https://t.co/vUrk6srRrW";Sat Jan 30 22:11:00 +0000 2021;0;0;Cotopaxi, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:11:13 +0000 2021;113;119;Cotopaxi, Ecuador;
Andrés Arauz;Algunos Malos Empresarios Pretenden obligar a sus trabajadores a Votar por el Candidato de la Derecha en Ecuador… https://t.co/BNLZxhRntU;Sat Jan 30 22:11:58 +0000 2021;0;0;Cotopaxi, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:12:05 +0000 2021;114;120;Cotopaxi, Ecuador;
Andrés Arauz;"RT @JoseChala_AN: 📌 #ArauzPresidente 
Falta poco para concretar en las urnas el triunfo de la #Lista1, del
#BinomioArauzRabascall y de los…";Sat Jan 30 22:12:45 +0000 2021;13;19;Cotopaxi, Ecuador;
Andrés Arauz;"No hay vuelta que darle, Andrés Arauz gana en #UnaSolaVuelta 
#ArauzPresidente #TodoTodito1 #ElBinomioDeLaEsperanza";Sat Jan 30 22:12:48 +0000 2021;0;0;Cotopaxi, Ecuador;
Andrés Arauz;Prensa pagada desinforma en Ecuador #UnaSolaVuelta #ArauzPresidente #ArauzRabascall #ARecuperarElFuturo;Sat Jan 30 22:13:52 +0000 2021;0;0;Cotopaxi, Ecuador;
