Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario)
Guillermo Lasso;"RT @Ana_Lorena_A: Mi presidente es sencillamente maravilloso, pero muchos de ustedes no están listos para esta conversación.

Vamos a levan…";Sun Jan 80;13;37;Cotopaxi, Ecuador
Guillermo Lasso;SE LES ACABO LA CORRUPCION !!!        LASSO PRESIDENTE EN UNA SOLA VUELTA !!!!!!! https://t.co/GlsnI6EiqG;Sun Jan 81;0;0;Cotopaxi, Ecuador
Guillermo Lasso;"RT @chinogomez14: El voto de Lasso es obligado, es por odio, es por interés, es por conveniencia.
El voto de @ecuarauz y @rabascallcarlos e…";Sun Jan 82;47;79;Cotopaxi, Ecuador
Guillermo Lasso;"RT @chinogomez14: El voto de Lasso es obligado, es por odio, es por interés, es por conveniencia.
El voto de @ecuarauz y @rabascallcarlos e…";Sun Jan 83;48;79;Cotopaxi, Ecuador
Guillermo Lasso;Mujer inteligente 👇🏻 con pasión de madre, que busca tener un futuro menos incierto y miserable como pretenden los s… https://t.co/7GSGzfkI8j;Sun Jan 84;0;0;Cotopaxi, Ecuador
Guillermo Lasso;RT @KELVINGAME3: SE LES ACABO LA CORRUPCION !!!        LASSO PRESIDENTE EN UNA SOLA VUELTA !!!!!!! https://t.co/GlsnI6EiqG;Sun Jan 85;1;1;Cotopaxi, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @playecnoticias @ProfHoax__ @CarlosP05340289 Mientras LASSO propone fortalecer a FAMILIAS de SOLDADOS y POLICÍAS en su lu…;Sun Jan 86;7;15;Cotopaxi, Ecuador
Guillermo Lasso;"RT @sucocastillo: Lasso reconoce que Moreno ha implementado su plan de gobierno.

Lasso apoyó el 90% de las leyes presentadas por Moreno, i…";Mon Feb 01 ;12;13;Pichincha, Ecuador
Guillermo Lasso;RT @fabriciovelav: AHORA: @ECUATRANSA despidió a su gerente, tras la difusión de un audio en el que amenazó con desvincular a sus trabajado…;Mon Feb 01 ;935;1873;Pichincha, Ecuador
Guillermo Lasso;@BurbanoXavier @monadeurdesa Uno ve fotos de gente que parecen inteligentes y luego hacen comentarios como este!!!… https://t.co/rRHhaoeY4U;Mon Feb 01 ;0;0;Pichincha, Ecuador
Guillermo Lasso;"RT @ElRebeldeEc: Hora 25. Si después de ver la entrevista al candidato Guillermo Lasso,decides votar por él; déjame decirte que estás entre…";Mon Feb 01 ;75;266;Pichincha, Ecuador
Guillermo Lasso;@LassoSX Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias, a VO… https://t.co/nRYb4TZwdY;Mon Feb 01;0;0;Pichincha, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @DannaGa41 Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias, a VOTAR…;Mon Feb 01 ;1;1;Pichincha, Ecuador
Guillermo Lasso;@VillaFernando_ Jaja ya das risa dedicate a hacer campaña por tu partido o solo eres un relleno para Lasso? Hervás presidente.;Mon Feb 01 ;0;0;Pichincha, Ecuador
Guillermo Lasso;@andre_romo Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias, a… https://t.co/GMnBAqiRTy;Mon Feb 01 ;0;0;Orellana, Ecuador
Guillermo Lasso;"@andrebernal26 @yakuperezg @NTN24Zoom Ésa es la fija che comisario
A la voz d Aura Primera
Decia Patagonio Tucumán… https://t.co/J6f3jrZ7pq";Mon Feb 01 ;0;0;Orellana, Ecuador
Guillermo Lasso;RT @moonlight_025x: @MashiRafael Ni Lasso Ni Correa, la gente hoy busca el EQUILIBRIO. Todos estamos cansados de los mismo polítiqueros cor…;Mon Feb 01 ;1;7;Orellana, Ecuador
Guillermo Lasso;RT @cereceda_elena: @PatricioJijonL1 👏🏻👏🏻👏🏻👏🏻 LASSO PRESIDENTE!!;Mon Feb 01 ;2;2;Orellana, Ecuador
Guillermo Lasso;El último manotazo de ahogado. Solo el voto duro de Lasso se va comer ese cuento de la intervención de un grupo ter… https://t.co/Ay6AflMtYk;Mon Feb 01;0;0;Orellana, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @pinllocoto Estas elecciones DECIDIMOS entre dos modelos absolutamente opuestos: PROSPERIDAD que representa LASSO, y el o…;Mon Feb 01;1;0;Orellana, Ecuador
Guillermo Lasso;"RT @FaustoCoboM3: Mientras el  CORREATO sigue cuenteando sobre VACUNAS, LASSO ya demostró eficiencia con su programa""SALVAR VIDAS"" para ayu…";Mon Feb 01;14;22;Orellana, Ecuador
Guillermo Lasso;@mlenin81 @CarlosVerareal Y el APAGÓN INFORMÁTICO cuando  ganó Lasso...con mameluco incluido presidente...q pasó??;Mon Feb 01;0;0;Orellana, Ecuador
Guillermo Lasso;RT @realjuca: Jajajajajajajajajajaja bueno Sra vote por Lasso ese si es un gran consejo verdad? 🤣🤣🤣🤣;Mon Feb 01;1;4;Guayaquil, Ecuador
Guillermo Lasso;@ecuadorenvivo Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias… https://t.co/DgiSNDgVX3;Mon Feb 01;0;0;Guayaquil, Ecuador
Guillermo Lasso;@lahoraecuador Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias… https://t.co/mjTslgDTKw;Mon Feb 01;0;0;Guayaquil, Ecuador
Guillermo Lasso;RT @ivonnececiliato: @FrCoronel @Mathews54163026 Ojalá esos mensajes lleguen a la gente que necesita ser guiada   Tenemos que hacer un trab…;Mon Feb 01;1;4;Guayaquil, Ecuador
Guillermo Lasso;"ESTAS SON  PRUEBAS CONTUNDENTES
QUE EL GRAN PUEBLO ELIGIRA A LASSO  PRESIDENTE Y A LOS SOCIAL CRISTIANOS PARA QUE… https://t.co/I3hkT552nP";Mon Feb 01;0;0;Guayaquil, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @lahoraecuador Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias, a VO…;Mon Feb 01;1;0;Santo Domingo, Ecuador
Guillermo Lasso;RT @JohnAmezcua5: #Ecuador tiene que avanzar hacia un futuro donde haya trabajo y progreso. No dejemos que Lelo Arauz venga a engañarnos co…;Mon Feb 01;4;7;Santo Domingo, Ecuador
Guillermo Lasso;RT @JohnAmezcua5: #Ecuador tiene que avanzar hacia un futuro donde haya trabajo y progreso. No dejemos que Lelo Arauz venga a engañarnos co…;Mon Feb 01;5;7;Santo Domingo, Ecuador
Yaku Pérez;"RT @Politizadoscom: #Spots | #Elecciones2021
 
-🏙️País: #Ecuador🇪🇨
-🗳️Elección: Presidencial 2⃣0⃣2⃣1️⃣
-💁‍♂️Candidato: .@yakuperezg 
-🚩Movi…";Mon Feb 01;1;0;Santo Domingo, Ecuador
Yaku Pérez;RT @yakuperezg: Nuestras manos nunca se han manchado con actos de corrupción, tenemos la capacidad moral para gobernar el país con honestid…;Mon Feb 01;45;139;Santo Domingo, Ecuador
Yaku Pérez;RT @yakuperezg: Nuestras manos nunca se han manchado con actos de corrupción, tenemos la capacidad moral para gobernar el país con honestid…;Mon Feb 01;46;139;Santo Domingo, Ecuador
Yaku Pérez;"RT @PKnacional18: #RuedaDePrensa  
Organizaciones sociales ratifican el apoyo a nuestro compañero Yaku Perez Guartambel.
Acompáñanos 
#Yaku…";Mon Feb 01;4;13;Santo Domingo, Ecuador
Yaku Pérez;"RT @yakuperezg: La protección de la naturaleza será un eje principal en nuestro gobierno.

#ClaroQueSePuede
#YakuPresidente
#YakuEs https:/…";Mon Feb 01;10;39;Santo Domingo, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Por eso #Yaku es la mejor opción!

#YakuPresidente
#ClaroQueSePuede
#YakuEs https://t.co/RVzsO83q5k";Mon Feb 01;63;205;Guayaquil
Yaku Pérez;RT @yakuperezg: Hoy a partir de las 10:00 pm, te invito a seguir en vivo mi entrevista en @CNNEE para conocer nuestra propuesta de campaña.…;Mon Feb 01;14;38;Guayaquil
Yaku Pérez;RT @yakuperezg: Hoy a partir de las 10:00 pm, te invito a seguir en vivo mi entrevista en @CNNEE para conocer nuestra propuesta de campaña.…;Tue Feb 02 ;15;40;Guayaquil, Ecuador
Yaku Pérez;RT @pametroya: Soy feminista y activista LGBTI-DDHH. Desde la Asamblea legislaremos a favor de mujeres, niñez y adolescencia y personas LGB…;Tue Feb 02 ;9;16;Guayaquil, Ecuador
Yaku Pérez;RT @yakuperezg: Hoy a partir de las 10:00 pm, te invito a seguir en vivo mi entrevista en @CNNEE para conocer nuestra propuesta de campaña.…;Tue Feb 02 ;16;41;Guayaquil, Ecuador
Yaku Pérez;"¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am… https://t.co/XILenoOvfL";Tue Feb 02 ;0;0;Orellana, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am

#ClaroQue…";Tue Feb 02 ;1;1;Orellana, Ecuador
Yaku Pérez;Punto de llegada!!!! CARONDELET....para rendir pleitesía al SÁTRAPA LENÍN MORENO. Su mayor CÓMPLICE;Wed Feb 03;0;0;Orellana, Ecuador
Yaku Pérez;@FrCoronel Y si gana #YakuPresidente, por que en segunda vuelta es el único que le gana a Arauz, dese una oportunid… https://t.co/XYmvJqSD9v;Wed Feb 03;0;0;Orellana, Ecuador
Yaku Pérez;@marginalismo @FrCoronel El votar por Lasso solo les condenará, por que en segunda vuelta el único que le gana a Arauz es #YakuPresidente.;Wed Feb 03 ;0;0;Orellana, Ecuador
Yaku Pérez;@vesand @CNNEE @soyfdelrincon @yakuperezg Ignorenlo contagiado con #CorreaVirus más mortal que #Covid_19… https://t.co/LGYi17mKPS;Wed Feb 03 ;0;0;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: La protección de la naturaleza será un eje principal en nuestro gobierno.

#ClaroQueSePuede
#YakuPresidente
#YakuEs https:/…";Wed Feb 03;11;41;Pichincha, Ecuador
Yaku Pérez;RT @Leo_MenesesPozo: Vamos firmes esta vez vamos por un gobierno del pueblo #YakuPresidente #ClaroQueSePuede @yakuperezg @PK18CARCHI @isacc…;Tue Feb 02 ;9;9;Pichincha, Ecuador
Yaku Pérez;#CapacidadParaCambiar pero de escenario, 🎀♿😕;Tue Feb 02 ;0;0;Pichincha, Ecuador
Yaku Pérez;"@JSMARTINEZG @CNNEE @soyfdelrincon @yakuperezg Contagiado con #CorreaVirus
#ClaroQueSePuede #YakuPresidente";Tue Feb 02 ;0;0;Azuay, Ecuador
Yaku Pérez;RT @mayracriss: #ClaroQueSePuede Tener un país más justo, donde nuestros representantes sean hombres y mujeres con capacidad, honestidad y…;Tue Feb 02 ;6;8;Azuay, Ecuador
Yaku Pérez;@leonard_arisa @CNNEE @soyfdelrincon @yakuperezg Así son de canallas como este Contagiado con #CorreaVirus campeone… https://t.co/guHFLrKJlU;Tue Feb 02 ;4;0;Azuay, Ecuador
Yaku Pérez;"¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am… https://t.co/cYkb0MtrdC";Tue Feb 02 ;5;0;Azuay, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am

#ClaroQue…";Tue Feb 02 ;1;2;Azuay, Ecuador
Yaku Pérez;"RT @yakuperezg: ¡Caravana de cierre de campaña en Quito 🚲🚗!

🗓 Miércoles, 3 de febrero
🏠 Parroquia Cutuglagua (salida)
⏰09:00 am

#ClaroQue…";Wed Feb 03 ;2;4;Azuay, Ecuador
Yaku Pérez;Yaku ha dejado un gran precedente para el Movimiento Indígena, estoy super feliz por esto y me doy por servida. Yak… https://t.co/NfzAfmw95x;Wed Feb 03 ;0;0;Azuay, Ecuador
Yaku Pérez;RT @yakuperezg: Nuestras manos nunca se han manchado con actos de corrupción, tenemos la capacidad moral para gobernar el país con honestid…;Wed Feb 03 ;47;145;Azuay, Ecuador
